month, us_source ,real_income,CPI
8-Jun,33568,41491.18388,0.018262029
8-Jul,35737,42771.2654,0.005642317
8-Aug,30842,41390.1659,0.002504759
8-Sep,28141,41537.30143,-0.005996402
8-Oct,19316,39196.98622,0.014176553
8-Nov,15249,38202.94501,-0.0103103
8-Dec,15192,42726.80886,-0.018431333
9-Jan,27698,69743.90494,-0.003775895
9-Feb,11923,42807.6563,-0.015263266
9-Mar,15705,40087.2818,0.001144284
9-Apr,15755,40119.62463,0.007585204
9-May,19554,40790.71678,0.004228112
9-Jun,23629,39274.33446,-0.000924214
9-Jul,26348,40668.85515,0.001952924
9-Aug,27156,39824.66747,0.018054986
9-Sep,22148,41117.87381,-0.006650544
9-Oct,17293,40234.43816,0.003854737
9-Nov,15732,39742.41499,-0.007477769
9-Dec,16604,43752.42967,-0.004785176
10-Jan,25996,54908.55216,0.001227621
10-Feb,22304,68276.24759,0.005313171
10-Mar,18279,41766.03386,-0.009553816
10-Apr,17782,40914.8265,0.008414572
10-May,26012,41860.98655,-0.001526407
10-Jun,27379,42172.67649,0.003363229
10-Jul,36737,42005.87282,0.003148807
10-Aug,29977,40824.13688,0.000101256
10-Sep,27904,43472.23627,0.001012453
10-Oct,23861,40146.70418,0.006574289
10-Nov,17365,39668.03731,0.001909164
10-Dec,17511,44739.2886,-0.007521813
11-Jan,28538,83577.56443,-0.000101051
11-Feb,16625,45865.18206,0.007478525
11-Mar,17614,41233.55596,-0.008727054
11-Apr,15643,40811.57091,0.007488363
11-May,24463,42053.13283,0.001908397
11-Jun,31960,41429.71007,0.006215539
11-Jul,40242,42441.2911,-0.002988941
11-Aug,31955,42151.84815,0.00029979
11-Sep,25875,43006.086,0.001298701
11-Oct,23793,40135.95316,0.005387609
11-Nov,17234,39408.378,-0.000297708
11-Dec,16371,45009.40874,0.002283105
12-Jan,32901,82338.07267,0.003070219
12-Feb,15531,41957.1743,-0.013230648
12-Mar,18291,41136.31821,0.00120072
12-Apr,18639,40857.51064,0.009294423
12-May,23624,41093.70381,0.004950985
12-Jun,31178,41759.34991,0.006404572
12-Jul,33515,41136.2528,0.003818289
12-Aug,29442,40099.48807,0.009753243
12-Sep,23753,42210.48551,-0.003284072
12-Oct,20939,39454.03413,-0.00067836
12-Nov,20380,38894.86027,-0.007564003
12-Dec,21970,46246.22283,0.002442838
13-Jan,30187,58592.91085,-0.001754557
13-Feb,28076,60527.69679,0.004784689
13-Mar,22714,40814.43502,-0.014382896
13-Apr,23956,40857.42283,0.006211793
13-May,32015,41242.17527,0.001861832
13-Jun,45471,41478.3455,0.004988263
13-Jul,49064,41953.40676,-0.001557178
13-Aug,39604,41122.46885,0.00126718
13-Sep,36108,41424.17836,0.013045171
13-Oct,30270,40423.97379,-0.002690755
13-Nov,23410,40141.69255,-0.007130468
13-Dec,23706,45006.80008,-0.000970497
14-Jan,36994,85497.77261,0.003108607
14-Feb,21637,40590.1225,-0.003873717
14-Mar,26037,41445.90005,0.001847171
14-Apr,25575,40833.81531,0.006695779
14-May,36580,42812.31954,0.001542317
14-Jun,47754,40754.57244,0.005101059
14-Jul,53177,43950.19157,-0.000287274
14-Aug,43109,42443.4907,0.004310345
14-Sep,37209,42349.23664,-0.000476872
14-Oct,32085,40238.39039,0.000667939
14-Nov,27167,40771.7475,-0.009058835
14-Dec,25724,44863.84705,-0.003464203
15-Jan,31236,50804.57523,-0.012263422
15-Feb,31705,84428.64101,0.003519406
15-Mar,29876,42003.71058,-0.002338042
15-Apr,29078,42125.571,0.004687042
